lang_code,population
abk,194000
abq,40154
ady,600000
agx,34000
akv,6800
alt,89000
ani,30000
atv,5700
ava,650104
bak,1661000
bel,8554000
bua,461000
che,2126000
chu,41666
chv,700222
crh,541000
dar,362156
dlg,8100
inh,536000
kaz,17956000
kbd,1000000
kir,6083000
kjh,63000
koi,59000
kpt,1265000
kpv,154000
krc,274038
kum,569000
lbe,189000
lez,630000
mdf,483000
mhr,423803
mrj,135000
myv,108000
nog,111000
oss,490000
rom,500000
ron,46500
rut,55000
sah,378000
sty,177000
tab,153000
tat,5844000
tgk,216450
tin,20000
tsudaqar,20000
tyv,312194
udm,396000
ukr,45000000
uzb,38448000
xal,587000
xdq,40000
yrk,49000
